City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ljusdal,61.8288,16.0913,274.82,96,75,0.83,SE,1731218553
1,Muroto-misakicho,33.2833,134.15,293.15,71,100,2.86,JP,1731218555
2,Port elizabeth,-33.918,25.5701,292.21,80,20,1.54,ZA,1731218080
3,Saipan,15.1355,145.701,301.84,83,51,6.26,MP,1731218560
4,Hawaiian paradise park,19.5933,-154.9731,295.78,91,26,0.45,US,1731218562
5,Longyearbyen,78.2186,15.6401,270.06,63,75,3.6,SJ,1731218564
6,Mabaruma,8.2,-59.7833,296.0,100,31,0.22,GY,1731218568
7,Fort bragg,35.139,-79.006,283.06,84,0,1.54,US,1731218571
8,Borba,-4.3878,-59.5939,300.43,59,100,1.28,BR,1731218573
9,Port mathurin,-19.6833,63.4167,297.8,84,45,8.09,MU,1731218575
10,Grytviken,-54.2811,-36.5092,271.63,69,7,3.76,GS,1731218577
11,Lazaro cardenas,17.9583,-102.2,298.24,88,17,1.76,MX,1731218423
12,Adamstown,-25.066,-130.1015,296.36,88,100,9.86,PN,1731218582
13,Puerto natales,-51.7236,-72.4875,275.96,86,88,3.09,CL,1731218584
14,Minas de marcona,-15.2119,-75.1103,286.7,80,83,4.12,PE,1731218586
15,Port alfred,-33.5906,26.891,292.69,76,60,0.89,ZA,1731218588
16,Monforte de lemos,42.5216,-7.5142,289.58,99,100,0.92,ES,1731218350
17,Polyarnyy,69.1989,33.4478,274.91,89,80,7.51,RU,1731218593
18,Umm kaddadah,13.6017,26.6876,297.32,20,28,8.14,SD,1731218595
19,Peace river,56.2501,-117.286,269.32,86,0,1.54,CA,1731218597
20,Gandarbal,34.2333,74.7833,292.71,27,23,2.56,IN,1731218599
21,Albany,42.6001,-73.9662,273.4,75,19,0.79,US,1731218409
22,Bredasdorp,-34.5322,20.0403,290.99,65,84,7.08,ZA,1731218604
23,Bandarbeyla,9.4942,50.8122,300.89,70,69,8.06,SO,1731218606
24,Iskateley,67.6803,53.1512,267.93,84,94,4.23,RU,1731218589
25,Ushuaia,-54.8,-68.3,275.96,93,0,2.06,AR,1731218590
26,Brookings,44.3114,-96.7984,280.44,100,100,3.09,US,1731218612
27,Olonkinbyen,70.9221,-8.7187,274.24,100,100,5.91,SJ,1731218615
28,Mount gambier,-37.8333,140.7667,290.16,52,63,4.67,AU,1731218334
29,Whitehorse,60.7161,-135.0538,271.58,80,20,6.17,CA,1731218619
30,Port-aux-francais,-49.35,70.2167,277.89,79,37,13.23,TF,1731218528
31,Enterprise,36.0252,-115.2419,284.44,29,0,1.54,US,1731218623
32,Thinadhoo,0.5333,72.9333,301.24,71,34,4.84,MV,1731218625
33,Bethel,41.3712,-73.414,276.73,67,46,0.72,US,1731218628
34,New norfolk,-42.7826,147.0587,288.55,26,2,0.44,AU,1731218630
35,Ust-tsilma,65.441,52.1498,269.31,95,72,3.13,RU,1731218632
36,Ribeira grande,38.5167,-28.7,293.58,97,97,4.02,PT,1731218634
37,Shingu,33.7333,135.9833,292.49,78,100,3.25,JP,1731218636
38,Port lincoln,-34.7333,135.8667,291.62,60,70,3.63,AU,1731218638
39,Ancud,-41.8697,-73.8203,282.5,86,100,3.98,CL,1731218641
40,Avarua,-21.2078,-159.775,295.18,68,40,3.09,CK,1731218643
41,Geraldton,-28.7667,114.6,298.38,47,0,9.77,AU,1731218645
42,Kruisfontein,-34.0033,24.7314,290.02,64,96,4.37,ZA,1731218647
43,Waitangi,-43.9535,-176.5597,285.83,88,4,2.24,NZ,1731218649
44,Qaqortoq,60.7167,-46.0333,272.1,95,99,3.47,GL,1731218654
45,San patricio,28.017,-97.5169,294.12,63,0,2.9,US,1731218656
46,Carnarvon,-24.8667,113.6333,297.9,57,64,9.21,AU,1731218658
47,Xilin hot,43.9667,116.0333,279.44,29,0,1.31,CN,1731218661
48,Queenstown,-31.8976,26.8753,289.76,76,97,0.72,ZA,1731218663
49,Lakatoro,-16.0999,167.4164,299.46,74,38,6.51,VU,1731218665
50,Aasiaat,68.7098,-52.8699,268.26,88,100,2.95,GL,1731218519
51,Stanley,54.868,-1.6985,279.42,92,75,0.51,GB,1731218669
52,Muang xay,20.7,101.9833,303.7,40,4,1.27,LA,1731218671
53,La passe,45.5549,-0.8967,286.38,92,14,0.6,FR,1731218674
54,Xapuri,-10.6517,-68.5044,295.32,98,100,1.17,BR,1731218676
55,Mejit,10.2753,170.8646,301.69,76,48,9.35,MH,1731218678
56,Katsuura,35.1333,140.3,290.38,84,100,1.61,JP,1731218680
57,Margate,51.3813,1.3862,280.2,79,36,0.45,GB,1731218682
58,Vorgashor,67.5833,63.95,261.3,89,99,7.33,RU,1731218685
59,The pas,53.8251,-101.2541,278.16,65,100,1.54,CA,1731218687
60,Leava,-14.3,-178.1667,300.64,82,100,7.18,WF,1731218689
61,Mangai,-4.05,19.5333,293.69,98,100,0.24,CD,1731218691
62,Pacific grove,36.6177,-121.9166,285.05,80,89,0.89,US,1731218693
63,Isafjordur,66.0755,-23.124,278.3,95,100,4.61,IS,1731218696
64,Nadi,-17.8,177.4167,301.15,65,20,4.63,FJ,1731218698
65,Khowai,24.1,91.6333,301.96,56,0,1.78,IN,1731218700
66,Douentza,14.9951,-2.9517,294.38,17,23,1.17,ML,1731218702
67,Compostela,7.6731,126.0889,303.51,76,100,0.65,PH,1731218704
68,Angaur state,6.906,134.13,302.43,74,21,3.86,PW,1731218706
69,Codrington,-38.2667,141.9667,289.0,58,38,5.84,AU,1731218708
70,Edinburgh of the seven seas,-37.0676,-12.3116,288.48,90,97,6.31,SH,1731218711
71,Ust'-kalmanka,52.1207,83.305,274.15,70,100,12.9,RU,1731218713
72,Huescar,37.811,-2.5412,281.78,86,21,1.06,ES,1731218715
73,Riohacha,11.5444,-72.9072,297.29,94,82,1.82,CO,1731218717
74,Karamay,45.6004,84.8661,278.5,61,78,2.59,CN,1731218720
75,Sicklerville,39.7173,-74.9693,277.9,30,42,1.0,US,1731218722
76,Ust-nera,64.5667,143.2,251.54,99,100,1.47,RU,1731218724
77,Makueni boma,-1.8041,37.6203,295.2,70,48,1.74,KE,1731218727
78,Laascaanood,8.4774,47.3597,298.53,46,1,4.57,SO,1731218729
79,Bel ombre,-4.6167,55.4167,304.06,62,20,3.6,SC,1731218731
80,Praia da vitoria,38.7333,-27.0667,293.29,94,40,3.06,PT,1731218733
81,Nikolayevsk-on-amure,53.1406,140.73,271.32,97,100,0.95,RU,1731218736
82,Lokoja,7.8024,6.743,297.29,73,91,1.34,NG,1731218738
83,Klyuchi,52.2667,79.1667,272.09,92,100,10.84,RU,1731218740
84,Crane,31.3974,-102.3501,286.01,64,0,3.19,US,1731218742
85,San luis de la loma,17.2706,-100.8939,299.17,86,61,1.39,MX,1731218745
86,Garissa,-0.4536,39.6401,302.35,59,69,5.73,KE,1731218747
87,Kenai,60.5544,-151.2583,275.45,75,0,8.75,US,1731218749
88,West island,-12.1568,96.8225,299.14,84,100,8.5,CC,1731218751
89,Puerto ayora,-0.7393,-90.3518,294.57,88,60,3.13,EC,1731218753
90,Santyoku,37.4406,129.1708,291.49,64,100,0.86,KR,1731218756
91,Opuwo,-18.0607,13.84,294.55,34,90,1.11,NA,1731218758
92,Corinto,37.9407,22.9573,287.53,67,17,2.3,GR,1731218524
93,Strezhevoy,60.7333,77.5889,269.36,92,100,4.08,RU,1731218750
94,Blackmans bay,-43.0167,147.3167,287.33,58,13,5.17,AU,1731218764
95,Abepura,-2.6333,140.5833,304.6,66,20,5.14,ID,1731218766
96,Cide,41.8921,33.0044,284.39,57,35,1.97,TR,1731218769
97,St. john's,47.5649,-52.7093,276.92,85,100,11.83,CA,1731218771
98,Udachny,66.4167,112.4,252.32,96,63,2.06,RU,1731218773
99,Zhanibek,49.4167,46.85,276.69,82,37,4.8,KZ,1731218775
100,Orchha,25.35,78.65,303.26,33,0,2.31,IN,1731218777
101,Garca,-22.2106,-49.6561,290.39,85,27,3.99,BR,1731218760
102,Pathein,16.7833,94.7333,301.29,75,35,4.14,MM,1731218782
103,Puerto aysen,-45.4,-72.7,278.8,99,96,2.54,CL,1731218784
104,Papatowai,-46.5619,169.4708,287.88,62,69,4.11,NZ,1731218786
105,Nemuro,43.3236,145.575,282.27,68,1,5.04,JP,1731218789
106,Rovaniemi,66.5,25.7167,268.82,93,0,2.57,FI,1731218791
107,Uturoa,-16.7333,-151.4333,300.3,80,41,5.47,PF,1731218793
108,Ca mau,9.1769,105.15,302.31,80,100,4.44,VN,1731218796
109,Kingston,17.997,-76.7936,298.68,94,20,2.06,JM,1731218798
110,Fuling,29.7022,107.3919,295.43,57,75,1.26,CN,1731218800
111,Iqaluit,63.7506,-68.5145,267.98,79,100,8.05,CA,1731218803
112,Kasangulu,-4.5911,15.1708,293.81,98,100,0.86,CD,1731218805
113,Wailua homesteads,22.0669,-159.378,296.59,95,75,7.72,US,1731218809
114,Richards bay,-28.783,32.0377,294.56,86,100,2.53,ZA,1731218619
115,Fisterra,42.9049,-9.2629,289.87,97,100,4.25,ES,1731218814
116,Tiksi,71.6872,128.8694,257.92,95,100,2.41,RU,1731218816
117,Sao vicente,-23.9631,-46.3919,292.58,26,88,1.92,BR,1731218582
118,Jamestown,42.097,-79.2353,279.95,60,0,4.63,US,1731218823
119,Trairi,-3.2778,-39.2689,298.51,82,32,5.11,BR,1731218803
120,Yellowknife,62.456,-114.3525,260.6,93,97,4.92,CA,1731218827
121,Fort-shevchenko,44.5086,50.263,284.68,91,98,1.41,KZ,1731218829
122,Lompoc,34.6391,-120.4579,281.38,93,0,2.57,US,1731218831
123,Bilibino,68.0546,166.4372,249.3,100,94,0.93,RU,1731218833
124,Tekkali,18.6167,84.2333,303.46,46,1,3.92,IN,1731218836
125,Thompson,55.7435,-97.8558,268.24,86,20,0.0,CA,1731218521
126,Nar'yan-mar,67.6713,53.087,268.09,85,89,4.27,RU,1731218840
127,Kerch,45.3583,36.4758,282.17,80,4,8.27,UA,1731218788
128,Tari,-11.1105,14.3559,291.85,96,100,0.88,AO,1731218844
129,Waycross,31.2136,-82.354,293.09,94,99,0.89,US,1731218847
130,Road town,18.4167,-64.6167,300.1,79,100,5.69,VG,1731218849
131,Tottori,35.5,134.2333,291.91,62,100,0.62,JP,1731218851
132,Berezovo,63.9381,65.0419,264.22,84,64,6.93,RU,1731218853
133,Kirensk,57.7853,108.1119,268.21,80,98,3.63,RU,1731218855
134,Anadyr,64.75,177.4833,268.43,92,75,2.0,RU,1731218857
135,Rundu,-17.9333,19.7667,296.0,67,99,1.16,NA,1731218860
136,Trinity beach,-16.7888,145.6968,304.09,55,43,6.69,AU,1731218862
137,Lebu,-37.6167,-73.65,283.42,86,100,0.85,CL,1731218701
138,College,64.8569,-147.8028,258.75,85,20,2.57,US,1731218866
139,Nevel'sk,46.6733,141.8633,283.04,89,82,10.69,RU,1731218868
140,Bikenibeu village,1.3673,173.1241,302.13,74,75,2.57,KI,1731218870
141,Galesong,-5.3166,119.3661,303.83,65,78,4.3,ID,1731218873
142,Margaret river,-33.95,115.0667,291.38,50,0,7.09,AU,1731218877
143,Porbandar,21.6422,69.6093,304.88,37,1,1.06,IN,1731218879
144,Happy valley-goose bay,53.3168,-60.3315,268.7,68,8,2.22,CA,1731218881
145,Augusto correa,-1.0217,-46.635,297.75,88,18,1.28,BR,1731218829
146,Whakatane,-37.9585,176.9854,290.88,85,78,2.44,NZ,1731218886
147,Rio grande,-32.035,-52.0986,289.38,75,0,4.38,BR,1731218642
148,Greymouth,-42.4667,171.2,286.27,69,99,2.82,NZ,1731218890
149,Badagry,6.4167,2.8833,298.1,86,76,1.05,NG,1731218892
150,Lamar,33.6668,-95.5836,287.1,87,75,1.54,US,1731218895
151,Pisco,-13.7,-76.2167,289.83,82,0,1.03,PE,1731218897
152,Ilulissat,69.2167,-51.1,269.16,80,100,4.12,GL,1731218899
153,Invercargill,-46.4,168.35,289.83,59,94,0.89,NZ,1731218904
154,Itoman,26.1247,127.6694,302.16,84,20,4.63,JP,1731218906
155,La punta,-33.1837,-66.3127,294.97,59,0,5.88,AR,1731218908
